ev_id,ntsb_no,ev_type,ev_date,ev_dow,ev_time,ev_tmzn,ev_city,ev_state,ev_country,ev_site_zipcode,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,latlong_acq,apt_name,ev_nr_apt_id,ev_nr_apt_loc,apt_dist,apt_dir,apt_elev,wx_brief_comp,wx_src_iic,wx_obs_time,wx_obs_dir,wx_obs_fac_id,wx_obs_elev,wx_obs_dist,wx_obs_tmzn,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,metar,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,invest_agy,ntsb_docket,ntsb_notf_from,ntsb_notf_date,ntsb_notf_tm,fiche_number,lchg_date,lchg_userid,wx_cond_basic,faa_dist_office,dec_latitude,dec_longitude
"20200104X82940","CEN20LA055","ACC","01/04/20 00:00:00","Sa",2200,"UTC","Mullin","TX","USA","76864",2020,1,,,"031391N","0983915W","MEAS","Private Airstrip",,"OFAP",0,,1500,,"WFAC",1601,10,"KMKN",1388,16,"UTC","DAYL","CLER",0,0,"NONE",,,10,68,30,260,"U",3,"F","T",0,30.280001,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"10/15/21 18:00:14","coln","VMC",,31.650278,-98.654167
"20200106X50409","WPR20CA058","ACC","11/25/19 00:00:00","Mo",2130,"UTC","San Diego","CA","USA","92123",2019,11,,,"324834N","0117813W","MEAS","Montgomery-Gibbs Executive Air","MYF","ONAP",0,,427,,"WFAC",2053,0,"MYF",427,0,"UTC","DAYL","CLER",0,0,"NONE",,,10,66,50,190,"U",8,"F","T",0,29.85,,,,"NONE",,,,0,0,2,0,2,"N",,,,,,"09/26/20 09:19:44",,"VMC",,32.809444,-117.136947
"20200106X51926","ERA20WA067","ACC","12/28/19 00:00:00","Sa",1110,"UTC","Cmte Nicanor Otamendi",,"AR",,2019,12,,,"038631S","0574417W","EST",,,"OFAP",0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"NONE",,,,0,0,9,0,9,"O",,,,,,"09/26/20 09:23:48",,,,-38.108612,-57.738056
"20200106X65620","ERA20FA068","ACC","01/06/20 00:00:00","Mo",1923,"UTC","Newborn","GA","USA","30056",2020,1,,,"332940N","0833833W","EST",,,"OFAP",0,,,,"WFAC",1915,310,"CVC",819,11,"UTC","DAYL","CLER",0,0,"NONE",,,10,61,37,290,"U",5,"F","T",0,30.120001,,,,"FATL",,,,1,0,0,0,1,"N",,,,,,"06/01/21 18:00:11","coln","VMC",,33.494445,-83.642501
"20200106X84637","GAA20WA102","ACC","12/02/19 00:00:00","Mo",900,"UTC","Caieiras, SP",,"BR",,2019,12,,,"232442S","0464214W",,,,"OFAP",0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"FATL",,,,1,0,0,0,1,"O",,,,,,"09/26/20 09:23:48",,,,-23.411666,-46.703887
"20200106X90557","ERA20LA069","ACC","01/06/20 00:00:00","Mo",2224,"UTC","Mount Sterling","KY","USA","40353",2020,1,,,"038430N","0835846W","EST","Mount Sterling-Montgomery Coun","IOB","OFAP",1,0,1019,,"WFAC",1735,180,"KIOB",1019,1,"UTC","DUSK","CLER",0,0,"NONE",,,10,41,30,0,"U",,"F","F",0,30.219999,,,,"SERS",,,,0,0,0,1,1,"N",,,,,,"09/29/21 17:06:04","broda","VMC",,38.075,-83.979446
"20200107X23239","CEN20WA056","INC","12/18/19 00:00:00","We",1245,"UTC","Geneva",,"CH",,2019,12,,,,,,,,"OFAP",0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"NONE",,,,0,0,2,0,2,"O",,,,,,"09/26/20 09:23:48",,,,,
"20200107X14009","WPR20CA059","ACC","01/04/20 00:00:00","Sa",2009,"UTC","Mokelumne Hills","CA","USA","95245",2020,1,,,"381744N","1204315W",,"Private","PVT","ONAP",0,,1500,,"WFAC",2155,225,"KSCK",27,34,"UTC","DAYL","SCAT",2200,0,,,,10,61,50,320,"U",11,"F","T",0,30.35,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"09/26/20 09:19:44",,"VMC",,38.295555,-120.720832
"20200107X20502","WPR20CA060","ACC","01/04/20 00:00:00","Sa",400,"UTC","Twentynine Palms","CA","USA","92277",2020,1,,,"034810N","1155640W",,"Twentynine Palms","TNP",,0,14,1888,,"WFAC",1856,312,"KNXP",2051,15,"UTC","NITE","CLER",0,0,"NONE",,,10,61,32,0,"U",,"F","F",0,30.370001,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"09/26/20 09:19:44",,"VMC",,34.136112,-115.944442
"20191225X20233","ERA20LA070","ACC","12/24/19 00:00:00","Tu",2100,"UTC","Concord","NC","USA","28027",2019,12,,,"035240N","0803725W","MEAS","SPENCER","NC35","ONAP",0,204,755,,"WFAC",2050,262,"JQF",705,4,"UTC","DAYL","CLER",0,0,"NONE",,,10,64,46,360,"U",8,"F","T",0,30.040001,,,"SA	24/12/2019 20:50->	
METAR KJQF 242050Z 36008KT 10SM CLR 18/08 A3004=
","MINR",0,0,0,0,1,3,0,4,"N",,,,,,"06/21/22 18:00:05","schl","VMC",,35.400001,-80.623611
"20200107X34314","WPR20WA061","ACC","01/03/20 00:00:00","Fr",1515,"UTC","Dhana",,"IN",,2020,1,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,,,,,0,0,0,0,,"O",,,,,,"09/26/20 09:23:48",,,,,
"20200107X35017","DCA20LA047","ACC","12/23/19 00:00:00","Mo",159,"UTC","Denver","CO","USA",,2019,12,,,"394458N","0010503W","MEAS","Denver International","DEN","ONAP",0.75,,5434,,,,0,,,0,,"NITE",,0,24000,"BKN",,,,32,7,170,"U",12,"F","F",0,30.040001,,,,"NONE",,,,0,0,181,0,181,"N",,,,,,"09/30/22 12:26:33","warl","VMC",,39.749443,-105.000801
"20200107X21841","WPR20LA062","ACC","01/06/20 00:00:00","Mo",2109,"UTC","El Monte","CA","USA","91731",2020,1,,,"003458N","0011826W","MEAS","SAN GABRIEL VALLEY","EMT","OFAP",0,196,295,,"WFAC",2147,147,"KEMT",296,0,"UTC","DAYL","CLER",0,0,"NONE",,,10,77,25,0,"U",,"F","F",0,30.23,,,,"NONE",,,,0,0,1,0,1,"N",,,,,,"04/01/22 18:00:32","coln","VMC",,34.085556,-118.035003
"20200108X01007","DCA20RA048","ACC","01/08/20 00:00:00","We",240,"UTC","Tehran",,"IR",,2020,1,,,,,,,,,0,,,,,,0,,,0,,,,0,0,,,,,0,0,0,"U",,"F","F",0,0,,,,"FATL",,,,176,0,0,0,176,"O",,,,,,"09/26/20 09:23:48",,,,,
"20200108X05551","ANC20CA012","ACC","01/07/20 00:00:00","Tu",105,"UTC","Kapolei","HI","USA","96707",2020,1,,,"211814N","0158427W","MEAS","Kalaeloa (John Rodgers Field)","JRF","ONAP",0,226,30,,"PILO",2353,0,"PHJR",30,0,"UTC","DAYL","SCAT",3000,4500,"OVC",,,10,81,64,80,"U",12,"F","F",28,30.120001,,,,"MINR",,,,0,1,1,0,2,"N",,,,,,"02/02/21 19:11:17","hopj","VMC",,21.303888,-158.074172
"20200108X75639","ERA20LA071","ACC","01/08/20 00:00:00","We",1839,"UTC","Preston","GA","USA","31824",2020,1,,,"315745N","0843139W","MEAS",,,"OFAP",0,,,,"WFAC",1851,328,"KCSG",392,39,"UTC","DAYL","CLER",0,0,"NONE",,,10,61,21,0,"Y",,"T","T",0,30.43,,,,"MINR",,,,0,2,0,0,2,"N",,,,,,"03/23/22 18:00:28","coln","VMC",,31.962499,-84.527496
